
created_at	entry_id	latitude	longitude	anomaly status
2025-05-08 10:04:11 UTC	122	13.168533	77.535231	1
2025-05-08 10:04:28 UTC	123	13.168527	77.53523	1
2025-05-08 10:04:44 UTC	124	13.168521	77.535237	1
2025-05-08 10:05:00 UTC	125	13.168523	77.535242	1
2025-05-08 10:05:16 UTC	126	13.168518	77.535246	1
2025-05-08 10:05:47 UTC	127	13.16853617	77.53521517	1
2025-05-08 10:06:56 UTC	128	13.16868433	77.53516733	0
2025-05-08 10:07:12 UTC	129	13.168676	77.53516717	0
2025-05-08 10:07:28 UTC	130	13.16866883	77.5351655	0
2025-05-08 10:07:44 UTC	131	13.16866467	77.53515667	0
2025-05-08 10:08:04 UTC	132	13.16865633	77.53515167	0
2025-05-08 10:08:21 UTC	133	13.1686565	77.535165	0
2025-05-08 10:08:37 UTC	134	13.1686515	77.53516767	0



